gameID,Reg,Role,earnings,gold,silver,bronze,s-tier
Skeanz,Europe,Jungle,23148.0,5,6,4,0
Evrot,Brazil,Mid,2634.0,0,1,0,0
Karsa,China,Jungle,624814.0,13,4,1,10
Shikari,Europe,Top,13197.0,13,3,1,0
Fresskowy,Europe,Mid,2728.0,0,2,0,0
Frappii,Russia,ADC,6983.0,2,4,0,0
Vizicsacsi,Europe,Top,84394.0,1,10,2,0
Keine,Korea,Mid,2237.0,0,0,0,0
Sylvie,Korea,Jungle,2343.0,0,1,2,0
Newbie,North America,Support,23360.0,1,6,4,0
Ceos,Brazil,Support,9057.0,3,0,3,0
Castle,Korea,Top,2201.0,1,0,0,0
Melonik,Europe,Top,10781.0,1,0,1,0
Destroy,Korea,Top,3217.0,0,0,2,0
Cube,China,Top,18383.0,1,1,0,0
IgNar,North America,Support,103331.0,1,3,3,0
Quid,Korea,Mid,913.0,2,0,0,0
Stefan,Europe,Jungle,8683.0,2,2,0,0
Yoppa,Europe,Top,11246.0,2,2,2,0
Jojopyun,North America,Mid,3000.0,0,1,0,0
Phlaty,Russia,Mid,16805.0,0,4,1,0
Zven,North America,ADC,295293.0,8,11,2,5
Yagao,China,Mid,188058.0,2,3,4,1
Innaxe,Europe,ADC,29086.0,4,7,0,0
Hope,China,ADC,36553.0,0,1,0,0
Bean,Europe,ADC,20625.0,1,3,1,0
Pride,Europe,Top,18708.0,4,3,0,0
Pride,Europe,Top,5544.0,0,2,0,0
twohoyrz,Europe,Mid,6054.0,1,0,1,0
Milica,Europe,Mid,15930.0,6,2,2,0
FATE,Korea,Mid,5183.0,0,0,2,0
Kikis,Europe,Jungle,80810.0,4,5,6,1
Eika,Europe,Mid,38458.0,12,5,2,0
Rekkles,Europe,ADC,475412.0,9,11,6,5
Mikyx,Europe,Support,295496.0,7,2,1,6
Tore,Europe,Support,31944.0,2,2,0,0
Tactical,North America,ADC,80740.0,3,4,1,0
Meiko,China,Support,548639.0,13,3,3,8
Summit,North America,Top,15977.0,1,1,1,0
Carzzy,Europe,ADC,100957.0,6,1,1,2
SofM,China,Jungle,138250.0,2,2,2,0
Rich,Korea,Top,35464.0,3,2,0,0
Rich,Korea,Top,11632.0,0,2,1,0
Rich,PCS,Support,35464.0,3,2,0,0
Rich,PCS,Support,11632.0,0,2,1,0
UmTi,Korea,Jungle,16366.0,0,1,0,0
Tiger,Europe,ADC,7151.0,4,1,1,0
Bull,Korea,ADC,3997.0,0,2,0,0
Zeyzal,North America,Support,139853.0,3,6,2,0
Killua,China,Support,36905.0,1,2,2,1
Grell,Latin America,Jungle,11282.0,0,5,1,0
Thal,Korea,Top,15841.0,1,2,0,0
Morgan,Korea,Top,38451.0,1,1,1,0
OnFleek,Korea,Jungle,12713.0,0,2,1,0
Flandre,China,Top,218145.0,2,1,2,2
Doran,Korea,Top,57052.0,1,2,1,0
huanfeng,China,ADC,126869.0,3,1,1,0
Aspect,North America,Mid,3220.0,1,1,1,0
Klaus,Brazil,ADC,2984.0,0,2,0,0
Croco,Korea,Jungle,4768.0,0,0,1,0
Professor,Brazil,Support,6358.0,0,2,2,0
Crisp,China,Support,354755.0,2,4,2,2
Pobelter,North America,Mid,135942.0,3,3,3,3
Chasy,Korea,Top,12224.0,3,0,0,0
Punch,Korea,Jungle,22154.0,1,3,1,0
Hang,China,Support,18383.0,1,0,0,0
Dice,Korea,Mid,8435.0,1,0,1,0
Jinjiao,China,Support,77833.0,1,3,1,0
Burdol,Korea,Top,36105.0,1,2,0,0
Aodi,China,Top,61570.0,2,0,0,2
5Kid,Korea,ADC,1671.0,0,0,0,0
369,China,Top,214594.0,3,4,1,2
GimGoon,Korea,Top,252048.0,2,1,3,2
New,China,Top,1465.0,0,1,0,0
Rainbow,Latin America,Mid,8283.0,1,0,1,0
BuLLDoG,Korea,Mid,3629.0,0,2,0,0
Mitsuki,China,Support,12442.0,2,0,0,0
ping,China,Jungle,4532.0,0,1,0,0
Malrang,Korea,Jungle,43057.0,1,1,1,1
Evolved,North America,Jungle,2200.0,1,2,0,0
SoHwan,Korea,Top,21907.0,0,1,0,0
Disave,Brazil,ADC,5340.0,1,0,1,0
Garvey,China,Top,14369.0,0,1,0,0
Nemesis,Korea,Mid,98428.0,7,4,1,1
Chime,North America,Support,3000.0,2,0,0,0
Meaning,Korea,Top,928.0,2,2,0,0
Fly,Korea,Mid,44815.0,3,3,2,0
Kenvi,North America,Jungle,6220.0,2,1,3,0
