number,name,earnings,gold,silver,bronze,s-tier
158,Acorn,109282.00,2,2,0,2
159,Haro,109047.00,3,2,1,1
160,TusiN,108129.00,1,3,3,1
161,Able,106919.00,3,0,0,2
162,QiuQiu,106235.00,1,2,1,1
163,Wei,104175.00,3,0,0,2
164,Keria,103731.00,1,2,1,0
165,IgNar,103331.00,1,3,3,0
166,Cryin,102559.00,4,0,0,2
167,Lustboy,102509.00,6,3,0,3
168,Cool,102124.00,1,2,2,1
169,PvPStejos,101895.00,6,3,0,0
170,ZionSpartan,101765.00,2,8,2,2
171,Tarzan,101099.00,3,4,1,1
172,huhi,101016.00,2,4,1,2
173,Carzzy,100957.00,6,1,1,2
174,Shy,100948.00,1,5,2,0
175,Kirrrra,100654.00,6,4,1,0
176,Wuxx,98940.00,2,1,2,1
177,Kaiser,98621.00,6,2,3,2
178,MadLife,98606.00,2,6,2,0
179,Nemesis,98428.00,7,4,1,1
180,Woolite,96340.00,15,8,1,0
181,Watch,96297.00,1,3,0,1
182,West,95566.00,2,2,1,1
183,Athena,95443.00,3,2,1,0
184,FORG1VEN,95379.00,1,0,1,0
185,Ceros,94940.00,10,7,1,1
186,Amazing,93969.00,4,4,1,1
187,LoveLing,93900.00,1,3,1,1
187,Gogoing,93900.00,1,3,1,1
187,san,93900.00,1,3,1,1
190,Nisqy,93890.00,3,8,2,2
191,FEBIVEN,93852.00,7,5,2,2
192,Flawless,93606.00,2,4,1,1
193,Levi,93077.00,9,5,0,0
194,Alex Ich,93049.00,4,5,1,1
195,Kiin,90451.00,1,3,2,0
196,Genja,88300.00,4,3,1,1
196,Darien,88300.00,4,3,1,1
198,AmazingJ,87668.00,2,2,1,0
199,Hai,87649.00,5,2,1,2
200,Ucal,87281.00,1,1,1,1
201,LemonNation,87249.00,5,2,0,2
202,Ziv,86726.00,1,4,3,0
203,Jesiz,85412.00,2,2,5,0
204,Vizicsacsi,84394.00,1,10,2,0
205,Froggen,84313.00,4,1,2,1
206,Vulcan,84088.00,4,1,1,2
207,Balls,83500.00,5,2,1,2
208,Canna,83494.00,2,2,0,1
209,Lehends,83276.00,3,3,1,1
210,Moojin,82946.00,2,1,1,2
211,U,82801.00,3,1,0,3
212,KaKAO,82348.00,3,2,5,1
213,Arrow,82200.00,6,3,2,2
214,Mowgli,81549.00,1,1,2,0
215,Effort,81052.00,2,1,0,2
216,Westdoor,80942.00,1,2,2,0
217,Kikis,80810.00,4,5,6,1
218,Tactical,80740.00,3,4,1,0
219,Jinjiao,77833.00,1,3,1,0
220,Sword,77590.00,3,3,1,1
221,Xpecial,76040.00,4,7,4,1
222,Wickd,76037.00,2,3,4,1
223,An,75876.00,1,2,3,0
224,y4,75722.00,2,1,0,2
225,Leyan,72683.00,3,0,0,0
226,705,72451.00,2,0,0,1
227,Albis,72272.00,1,2,2,0
228,Cain,72097.00,1,1,0,1
229,RapidStar,71547.00,0,3,0,0
230,Hojin,71222.00,0,2,1,0
231,Mountain,71160.00,1,2,2,0
232,Kobbe,71096.00,3,2,3,1
233,Armut,70832.00,4,0,0,2
234,NL,70532.00,3,0,0,1
235,Smurf,69882.00,2,5,2,0
236,Kid,69768.00,1,3,3,0
237,JunJia,69224.00,2,0,0,1
238,Jactroll,68795.00,4,2,2,0
239,GodLike,68511.00,0,1,1,0
240,Corn,68440.00,0,1,1,0
241,Stixxay,68315.00,1,3,3,1
242,SaNTaS,68191.00,8,4,0,0
243,TheOddOne,68040.00,4,6,2,1
244,LANGX,67726.00,1,2,1,0
245,Kaiwing,67091.00,6,1,1,0
246,Reginald,67040.00,4,5,2,1
247,Elyoya,66955.00,3,1,0,2
248,Reignover,66370.00,2,1,2,2
249,Selfmade,65719.00,5,3,0,0
250,Larssen,65607.00,1,4,2,0
251,Heart,63444.00,1,1,0,1
252,Woong,63255.00,0,3,0,0
253,Nuclear,62417.00,3,1,1,1
254,Nagne,62287.00,1,1,0,0
255,Armao,62000.00,3,4,1,0
256,Aodi,61570.00,2,0,0,2
257,Naul,61554.00,5,4,1,0
258,Unified,61368.00,6,1,1,0
259,Koala,61295.00,2,2,3,1
260,Maxlore,60791.00,1,1,1,0
261,Slay,60702.00,4,1,1,0
262,BOSS,60489.00,8,1,0,0
263,Cabochard,60150.00,2,4,1,0
264,Road,60131.00,1,2,2,0
265,Palette,59918.00,4,3,1,0
266,Gumayusi,59851.00,3,2,0,0
267,Cola,59693.00,0,1,1,0
268,Inspired,59668.00,1,5,4,0
269,Stark,59209.00,5,2,2,0
270,Archie,58371.00,4,2,1,0
271,Oner,58173.00,3,3,0,0
272,nRated,58093.00,4,3,2,2
273,Xerxe,58027.00,1,3,3,1
274,iBo,57553.00,9,7,1,0
275,Likkrit,57455.00,2,3,0,0
276,Nomanz,57399.00,8,1,0,0
277,Attila,57148.00,5,0,1,0
278,WeiXiao,57090.00,5,0,1,1
279,Doran,57052.00,1,2,1,0
280,AHaHaCiK,56907.00,8,1,0,0
281,G4,56678.00,9,3,2,0
282,XuanXuanPi,56562.00,1,0,0,1
283,Fudge,55750.00,4,2,1,1
284,Wh1t3zZ,55747.00,0,1,0,0
285,Ley,55724.00,1,1,2,1
286,brTT,55524.00,8,8,4,1
287,Tabe,55327.00,0,1,0,0
287,Lucky,55327.00,0,1,0,0
289,Lloyd,55178.00,9,3,2,0
290,PK,54960.00,2,6,4,0
291,Slow,54809.00,6,3,1,0
292,Pyl,54704.00,1,1,1,1
293,Abbedagge,54671.00,3,2,2,2
294,Jiizuke,54564.00,1,0,2,0
295,Smlz,54429.00,2,1,4,2
296,Contractz,53773.00,2,2,0,1
297,Aluka,52331.00,1,2,1,1
298,Saken,52296.00,7,7,3,0
299,Chawy,52028.00,0,3,2,0
300,GODV,51887.00,1,1,0,1
301,Cody Sun,51154.00,1,3,1,0
302,Rockky,50819.00,6,1,2,0
303,River,50642.00,5,2,1,0
304,aMiracle,50618.00,2,1,0,0
305,Snoopeh,50505.00,1,2,3,0
306,Gadget,50499.00,6,4,1,0
307,Misaya,50074.00,4,0,1,1
308,Bigkoro,50072.00,2,3,1,0
309,AnDa,50025.00,5,1,0,0
310,nukeduck,50024.00,2,7,1,1
311,Gilius,49769.00,2,2,4,0
312,Denyk,49608.00,3,6,0,0
313,Targamas,49212.00,13,4,5,0
314,BrokenBlade,49035.00,2,5,0,2
315,Yellowpete,48625.00,1,1,2,0
316,Zeros,48254.00,3,2,1,0
317,Aria,48138.00,2,0,1,0
318,Ramune,48070.00,6,0,2,1
319,Oddie,48045.00,7,1,3,0
320,Piccaboo,47863.00,2,1,0,1
321,Krepo,47825.00,1,1,1,0
322,xMatty,47727.00,21,8,4,0
323,delord,47253.00,9,4,2,0
324,BaeMe,47167.00,0,0,1,0
325,Tolkin,46683.00,8,3,2,0
326,Kongyue,46642.00,0,2,3,0
327,Lodik,46481.00,4,2,0,0
328,Bugi,46246.00,2,1,3,1
329,K1ng,46161.00,8,3,2,1
330,Kold,46111.00,5,2,1,1
331,MaKNooN,46079.00,1,2,0,1
332,Uniboy,46042.00,0,2,4,0
333,Optimus,45675.00,6,1,2,0
334,Pyosik,45654.00,0,1,1,0
335,baybay,45400.00,0,2,2,0
336,Neon,45166.00,3,4,0,0
337,Liang,44904.00,0,4,3,0
338,Expession,44838.00,0,0,0,0
339,Fly,44815.00,3,3,2,0
340,Ggoong,44527.00,0,3,0,0
341,Crash,44372.00,2,0,2,0
342,CaoMei,43990.00,2,0,1,0
343,Plugo,43537.00,7,3,1,0
344,Roach,43359.00,2,4,0,1
345,Trymbi,43099.00,2,2,1,0
346,Malrang,43057.00,1,1,1,1
347,Cloud,42997.00,0,1,0,0
348,Upset,42723.00,0,3,2,0
349,Tabzz,42035.00,1,2,0,1
350,Swift,41589.00,0,2,1,0
351,Sebekx,41539.00,9,3,0,0
352,promisq,41534.00,3,1,0,1
353,Jejky,41427.00,7,2,0,0
354,Chres,41412.00,5,2,2,0
355,Cpt Jack,41311.00,3,3,0,1
356,Xx,41151.00,0,4,1,0
356,SnowFlower,41151.00,4,0,1,1
358,Closer,41063.00,3,1,0,2
359,FBI,40985.00,3,2,2,1
360,Nyph,40480.00,1,1,1,1
361,LIDER,40470.00,3,3,0,0
362,FoFo,40417.00,1,3,3,1
363,PDD,40250.00,1,2,1,0
364,kaSing,40147.00,6,7,6,1
365,fabFabulous,40120.00,6,3,0,2
366,puszu,40000.00,1,0,0,1
367,Shenyi,39844.00,0,2,1,0
368,Save,39781.00,0,2,1,0
369,Zeitnot,39570.00,5,3,1,2
370,micaO,39509.00,6,4,0,1
371,illuSioN,39370.00,1,2,1,0
372,Solo,39125.00,2,2,0,0
373,Morning,39097.00,2,2,3,2
374,Stitch,38976.00,1,1,2,0
375,tockers,38950.00,6,3,0,2
376,Seiya,38945.00,6,1,3,0
377,Meliodas,38732.00,2,0,1,0
378,P1noy,38655.00,7,3,1,1
379,icon,38648.00,1,1,1,1
380,Eika,38458.00,12,5,2,0
381,Morgan,38451.00,1,1,1,0
382,SSONG,38279.00,1,1,0,1
383,Spica,38275.00,1,2,1,1
384,Whitelotus,38210.00,6,1,1,0
385,Nardeus,38117.00,4,0,0,0
386,Chaox,38040.00,2,3,2,0
387,Steak,38000.00,2,0,0,0
388,Avoidless,37857.00,1,0,3,0
389,Shemek,37801.00,12,6,3,0
390,Obsess,37504.00,3,5,3,0
391,Mark,37399.00,2,1,0,0
392,kRYST4L,37369.00,0,1,1,0
393,Tom,37359.00,2,0,0,2
394,M1ssion,37323.00,3,1,3,0
395,xiaolaohu,37164.00,0,2,0,0
396,Rikara,37025.00,2,0,0,0
397,Killua,36905.00,1,2,2,1
398,Beichuan,36866.00,0,2,0,0
399,Prince,36790.00,1,1,1,0
400,Buggax,36636.00,4,0,1,0
401,Hope,36553.00,0,1,0,0
402,Adam,36533.00,3,1,2,0
403,TynX,36465.00,5,3,2,0
