number,name,earnings,gold,silver,bronze,s-tier
692,Bruce,16771.00,1,2,1,0
693,Shushei,16690.00,3,0,1,1
694,WarL0cK,16618.00,2,3,1,0
695,Shini,16561.00,4,3,0,0
696,5fire,16530.00,9,3,2,0
696,Ian,16515.00,0,1,1,0
698,Crumbz,16510.00,0,2,1,0
699,Absolut,16376.00,3,3,0,0
700,UmTi,16366.00,0,1,0,0
701,Lindarang,16305.00,0,0,0,0
702,Pridestalkr,16271.00,1,1,3,0
703,Alex,16269.00,0,1,2,0
704,Ysera,16261.00,0,2,2,0
705,Alu,16204.00,2,0,0,0
706,Gamsu,16200.00,1,2,2,0
707,Chrisberg,16168.00,7,0,3,0
708,Max,16162.00,0,1,0,0
709,DoubleAiM,16055.00,3,2,1,0
710,Inori,16000.00,3,1,1,0
711,Araneae,15990.00,1,0,1,0
712,Summit,15977.00,1,1,1,0
713,Coldenfeet,15931.00,0,5,0,0
714,Milica,15930.00,6,2,2,0
715,Chap,15855.00,4,3,3,0
716,Thal,15841.00,1,2,0,0
717,Leza,15831.00,1,3,1,0
718,Visdom,15827.00,0,2,5,0
719,Deftly,15813.00,0,3,0,0
720,Lost,15792.00,0,3,5,0
721,Kitty,15669.00,8,4,4,0
722,Kinzu,15601.00,0,2,2,0
723,Rabble,15592.00,0,1,3,0
724,Guoguo,15573.00,0,1,0,0
725,Hudie,15573.00,0,1,0,0
726,Jaeger,15560.00,2,1,4,0
727,Tolerant,15555.00,2,2,2,1
728,Goku,15551.00,3,5,2,0
729,FallenBandit,15520.00,3,3,0,0
730,Le Roi Bisou,15509.00,4,0,2,0
731,Qingtian,15489.00,1,0,0,0
732,Xiaocaobao,15489.00,1,0,0,0
733,Breathe,15484.00,0,2,2,0
734,Melon,15482.00,4,3,4,0
735,Kaas,15389.00,7,1,2,0
736,wewillfailer,15334.00,1,1,1,1
737,SozPurefect,15303.00,5,4,4,0
738,toucouille,15297.00,6,2,0,0
739,Ellam,15295.00,4,1,0,0
740,Wisdom,15278.00,2,0,1,1
741,seaz,15242.00,5,0,0,0
742,M1kuya,15136.00,0,1,0,0
743,Kaze,15052.00,4,3,2,0
744,Dardoch,15000.00,0,1,2,0
745,Deokdam,14935.00,1,2,1,0
746,Lukezy,14929.00,2,5,1,0
747,Jjun,14925.00,3,1,1,0
748,Kaigu,14920.00,2,4,1,0
749,SeongHwan,14901.00,0,0,0,0
750,Nappon,14694.00,2,1,1,1
751,Mellisan,14690.00,3,0,1,1
752,Zin,14673.00,1,0,2,0
753,Ben4,14631.00,0,1,0,0
754,Luci,14619.00,2,3,1,0
755,XUN,14615.00,1,0,1,0
756,zs,14615.00,1,0,0,0
757,Captain,14615.00,1,0,0,0
758,Snow,14615.00,1,0,0,0
759,Tuesday,14590.00,2,3,1,0
760,Tgee,14520.00,2,4,1,0
761,MaHa,14519.00,0,1,0,0
762,Japone,14491.00,1,1,0,0
763,Hadess,14487.00,9,4,0,0
764,Ares,14468.00,2,0,0,0
765,Garvey,14369.00,0,1,0,0
766,Xioh,14342.00,1,5,3,0
767,Bolulu,14304.00,4,2,0,0
768,Dread,14233.00,1,0,1,0
769,Sharkk,14209.00,4,2,2,0
770,Viod,14152.00,1,0,0,0
771,Alive,14151.00,2,2,0,0
772,Enjawve,14151.00,2,2,3,0
773,yT,14138.00,0,3,0,0
774,Ryan,14137.00,1,2,1,0
775,Phantiks,14106.00,3,2,1,0
776,Jojo,14104.00,2,3,0,0
777,XiaoWeiXiao,14000.00,0,0,1,0
778,Big,14000.00,4,0,0,0
779,Kektz,13999.00,5,6,2,0
780,rhuckz,13982.00,3,5,0,1
781,Totoro,13951.00,1,0,0,0
782,Aun,13897.00,0,5,1,0
783,EGO,13876.00,1,1,0,0
784,Jett,13801.00,2,0,0,0
785,Razork,13702.00,1,6,0,0
786,Jinoo,13685.00,0,1,1,0
787,Gari,13670.00,5,2,1,0
787,Shrimp,13616.00,1,3,0,0
789,Hybrid,13580.00,1,1,2,1
790,Prosfair,13570.00,12,3,4,0
791,Venzer,13485.00,3,4,0,0
792,H0R0,13392.00,1,1,0,0
793,Doss,13320.00,2,6,2,0
794,Patoy,13300.00,0,1,0,0
795,Mojito,13296.00,4,0,1,2
796,Shiro,13217.00,3,3,0,0
797,HiRit,13204.00,3,0,0,0
798,Shikari,13197.00,13,3,1,0
799,mancloud,13050.00,0,0,2,0
800,Zuna,13050.00,0,0,2,0
801,Ronaldo,13006.00,8,3,2,0
802,Rock,12995.00,0,1,2,0
803,Violet,12893.00,0,0,1,0
804,Hatrixx,12890.00,2,2,1,0
805,REFRA1N,12886.00,1,1,1,0
806,Kabbie,12869.00,1,0,0,0
807,Fury,12862.00,0,0,1,0
808,BloodWater,12800.00,0,0,2,0
809,Violet,12788.00,1,1,0,0
810,Aladoric,12788.00,1,2,0,0
811,Meteor,12754.00,0,1,1,0
812,OnFleek,12713.00,0,2,1,0
813,Shady,12710.00,3,4,4,1
814,Lava,12695.00,0,0,0,0
815,Mightybear,12650.00,0,2,0,0
816,Narkuss,12625.00,3,2,2,0
817,Celebrity,12612.00,2,1,3,0
818,Nji,12524.00,9,3,0,0
819,esA,12504.00,3,7,2,1
820,Reapered,12489.00,2,0,0,0
821,Vasked,12485.00,4,3,0,0
822,Wos,12471.00,4,4,0,0
823,Flaresz,12458.00,2,0,2,0
824,DuDu,12447.00,0,0,1,0
825,Mitsuki,12442.00,2,0,0,0
826,Quas,12430.00,0,1,4,0
827,LIMIT,12428.00,1,0,0,0
828,Klowny,12428.00,3,2,2,0
829,Memento,12399.00,0,2,1,0
830,Yuekai,12394.00,0,1,0,0
831,Maoan,12388.00,0,1,0,0
832,Darlik,12372.00,7,1,1,0
833,Spooky,12324.00,4,0,0,0
834,Lucker,12315.00,4,1,1,0
835,Julien,12290.00,3,2,2,0
836,Anthrax,12281.00,6,3,0,0
837,OzoraVeki,12257.00,3,3,0,0
838,Chasy,12224.00,3,0,0,0
839,Renyu,12216.00,2,1,4,0
840,Avenger,12212.00,3,0,2,0
841,Vzz,12191.00,4,0,0,0
842,Aix,12190.00,2,1,0,0
843,Treatz,12184.00,1,4,3,0
844,viviD,12181.00,3,5,1,1
845,Value,12180.00,5,0,3,0
846,Selfie,12122.00,1,1,0,0
847,Ruin,12090.00,2,0,3,0
848,Hoon,12076.00,1,0,0,0
849,Yoshino,12057.00,3,0,0,0
850,Scarlet,12046.00,2,3,0,0
851,Guigo,12006.00,3,0,1,0
852,NIXWATER,12000.00,0,0,0,0
853,Diamond,12000.00,2,1,1,0
854,Cotopaco,11975.00,2,2,2,0
855,Josedeodo,11965.00,1,0,1,0
856,Erdote,11941.00,3,1,1,0
856,Secret,11903.00,0,1,2,0
858,Jelly,11894.00,1,0,0,0
859,Artifact,11841.00,0,1,2,0
860,DoeDoii,11805.00,4,2,0,0
861,Akaadian,11800.00,0,2,0,0
862,Atom,11752.00,1,6,2,0
863,Matsukaze,11749.00,2,5,0,0
864,Dove,11739.00,0,2,2,0
865,yoHan,11737.00,1,0,2,0
866,Vardags,11704.00,0,4,2,0
867,Decoy,11696.00,2,2,3,1
868,YutoriMoyasi,11685.00,4,3,4,1
869,Aegis,11674.00,3,0,0,0
870,Rich,11632.00,0,2,1,0
871,TraYtoN,11622.00,1,3,1,0
872,Hamez,11605.00,4,5,1,0
873,Ren,11571.00,1,2,0,0
874,Skash,11557.00,1,0,0,0
875,Haise,11536.00,0,1,0,0
876,Aloned,11482.00,1,1,0,0
877,Masterwork,11439.00,5,2,1,0
878,Arce,11412.00,3,0,2,0
879,Relic,11412.00,2,2,2,0
880,Brosak,11364.00,1,3,3,0
881,Karim kt,11325.00,1,3,1,0
882,SoaR,11312.00,0,3,2,0
883,Raes,11302.00,4,4,3,1
884,JayJ,11300.00,2,0,0,0
885,Grell,11282.00,0,5,1,0
886,Quixeth,11255.00,5,5,0,0
887,Yoppa,11246.00,2,2,2,0
888,Meight,11225.00,4,4,1,0
889,Pulsas,11191.00,2,1,1,0
890,Bono,11179.00,0,1,0,0
891,Kerberos,11132.00,7,4,5,0
892,Dumbledoge,11050.00,4,2,0,1
893,Wysek,11045.00,0,3,1,0
894,Obvious,11032.00,4,1,1,0
895,Four,11031.00,2,4,1,0
896,Altec,11000.00,0,1,1,0
897,Markoon,10962.00,2,2,0,0
898,DNK,10954.00,0,1,2,0
899,YoDa,10926.00,1,0,2,0
900,Isles,10850.00,2,3,0,0
901,Jezu,10811.00,1,0,2,0
902,Fragas,10800.00,1,0,0,0
903,Melonik,10781.00,1,0,1,0
904,Arthur,10763.00,0,1,1,0
905,Lonely,10708.00,1,0,2,0
906,Zergsting,10696.00,2,0,0,1
907,Secr3t,10666.00,0,1,0,0
908,Envyy,10642.00,2,0,1,0
909,Zzus,10621.00,2,0,1,1
910,Special,10610.00,5,7,1,0
911,CBL,10606.00,1,0,4,0
912,Luger,10563.00,2,2,3,0
913,Copy,10520.00,2,5,0,0
914,Yampi,10504.00,3,3,2,0
915,StarLast,10489.00,1,0,0,0
916,Yaharong,10486.00,0,1,0,0
917,Dragonminkim,10440.00,2,0,0,0
918,HeaQ,10421.00,0,1,1,0
919,Minit,10414.00,0,3,0,0
920,Kati,10371.00,3,2,0,0
921,Apollo,10340.00,1,1,2,0
922,SLT,10331.00,1,2,3,0
923,Doxa,10300.00,2,1,0,0
924,Youngjae,10297.00,1,0,2,0
925,Furuy,10283.00,4,4,5,0
926,Yeon,10270.00,5,3,1,0
927,Shoryu,10200.00,2,4,0,0
928,Alois,10190.00,7,2,0,0
929,Scarface,10184.00,1,3,1,0
930,Lies,10181.00,0,1,0,0
931,Cat,10181.00,0,1,0,0
932,Sinmivak,10152.00,3,0,3,0
933,Papa Chau,10150.00,0,2,1,0
934,MnM,10140.00,0,0,0,0
935,Bananitoo,10118.00,5,0,3,0
936,niQ,10102.00,1,2,1,0
937,Kruimel,10094.00,3,6,2,0
938,Jiekou,10078.00,1,0,1,1
939,Emp,10054.00,1,4,2,0
940,Hammock,10000.00,0,1,0,0
941,BunnyFuFuu,10000.00,0,2,0,0
942,GreenTea,10000.00,0,0,0,0
943,Breaker,9876.00,0,1,2,0
944,GodKwai,9872.00,1,1,0,0
945,Cepted,9805.00,1,1,1,0
946,Dom1nant,9792.00,4,4,0,0
947,mumus100,9767.00,1,5,3,0
948,Nikola,9756.00,4,2,1,0
949,Advienne,9752.00,1,1,0,0
950,Bravado,9750.00,4,1,2,0
951,Taikki,9693.00,0,3,3,0
952,KingJ,9676.00,0,1,2,0
953,Pooh,9667.00,0,1,0,0
954,MANTARRAYA,9613.00,2,0,0,0
955,MikeYeung,9600.00,3,2,0,1
956,behave,9519.00,3,4,1,0
957,Bruness,9502.00,2,1,2,0
958,Sorn,9499.00,0,1,3,0
959,Jwaow,9429.00,1,1,4,0
960,Khael,9375.00,2,0,1,0
961,Raven,9370.00,1,0,0,0
962,SuNo,9360.00,1,0,1,0
963,Czajek,9324.00,2,0,3,0
964,Godbro,9258.00,4,3,1,1
965,Griffin,9250.00,0,2,2,0
966,Mash,9250.00,1,2,0,0
967,xani,9242.00,1,2,1,0
968,Hieu3,9237.00,0,1,0,0
969,Wakz,9207.00,3,4,2,0
970,wuji,9195.00,1,2,2,0
971,Bie,9116.00,1,1,2,0
972,Lourlo,9100.00,1,0,0,0
973,Akabane,9076.00,1,0,1,0
974,DudsTheBoy,9057.00,3,0,3,0
975,Ceos,9057.00,3,0,3,0
976,Asper,9026.00,2,0,1,0
977,Prismal,9000.00,3,2,1,0
978,Cariok,8956.00,2,2,1,0
979,Rakyz,8932.00,0,5,0,0
980,Nightmares,8856.00,3,8,2,0
981,Von,8853.00,2,2,1,0
982,OddOrange,8830.00,1,3,2,0
983,Plasma,8807.00,4,0,1,0
984,Dara,8781.00,6,4,0,1
985,Ggamza,8778.00,4,1,0,0
986,Tussle,8777.00,4,4,2,1
987,Delitto,8769.00,3,2,0,0
988,NoFe,8765.00,0,0,0,0
989,DREAMPYLLA,8758.00,1,3,0,0
990,ppgod,8736.00,0,0,1,0
991,Grevthar,8726.00,1,0,0,0
992,CozQ,8724.00,1,2,0,0
993,Ohq,8721.00,0,0,0,0
994,Jester,8717.00,1,2,3,0
995,Ophelia,8702.00,1,1,1,0
996,beansu,8701.00,2,4,2,0
997,HolyPhoenix,8698.00,6,1,0,0
998,Pyrka,8694.00,2,0,4,0
999,Stefan,8683.00,2,2,0,0
1000,Touch,8666.00,5,0,2,0
1001,Paris,8628.00,3,1,2,0
1002,Kroghsen,8612.00,11,2,4,0
1003,Shiganari,8590.00,0,3,0,0
1004,Pancake,8559.00,1,1,1,0
1005,Parang,8555.00,1,1,1,0
1006,Praedyth,8500.00,1,1,0,0
1007,Pabu,8500.00,1,3,0,0
1008,Chazz,8500.00,1,1,0,0
1009,Drobovik123,8469.00,0,2,1,0
1010,Chapapi,8452.00,8,2,0,0
1011,Dice,8435.00,1,0,1,0
1012,WeiZor,8407.00,2,1,1,0
1013,XinMo,8406.00,1,0,0,0
1014,Route,8355.00,0,0,1,0
1015,Makler,8350.00,1,0,1,0
1016,Wolfe,8330.00,1,1,3,0
1017,Bloody,8301.00,4,2,2,0
1018,Rainbow,8283.00,1,0,1,0
1019,Dreamer Ace,8279.00,0,3,0,0
1020,Blazes,8271.00,1,1,3,0
1021,Kindless,8270.00,2,3,2,0
1022,Fox,8250.00,1,2,0,0
1023,Mills,8216.00,2,1,0,0
1024,Nerroh,8180.00,2,7,0,0
1025,TasteLess,8152.00,3,4,0,0
1026,Sharp,8090.00,3,0,3,0
1027,EvanRL,8050.00,1,2,3,0
1028,Stunt,8000.00,1,0,1,0
1029,Blossom,7996.00,1,0,0,0
1030,Kadir,7995.00,0,3,1,0
1031,k0u,7995.00,3,3,1,0
1032,Katare,7974.00,3,2,0,0
1033,Mireu,7957.00,1,0,0,0
1034,EdinPriqtel,7892.00,2,0,1,0
1035,Spirax,7830.00,2,2,2,0
1036,RoseThorn,7800.00,2,1,2,0
1037,Plox,7788.00,1,4,2,0
1038,Ashanome,7776.00,3,5,1,0
1039,QQmore,7774.00,0,3,2,0
1040,Unho1y,7761.00,1,2,0,0
1041,Elwind,7734.00,2,0,2,2
1042,Madness,7734.00,2,0,1,2
1043,Sedrion,7695.00,0,2,2,0
1044,Creaton,7680.00,1,0,0,0
1045,Dajor,7596.00,0,2,0,0
1046,Zvene,7579.00,2,1,1,0
1046,TheRainMan,7540.00,1,1,2,0
1048,Fitz,7384.00,0,1,1,0
1049,Vince,7312.00,5,2,0,0
1050,Dhokla,7275.00,3,2,2,0
1051,LukasNegro,7192.00,1,5,0,0
1052,Tiger,7151.00,4,1,1,0
1053,Berserker,7128.00,3,1,0,0
1054,CaD,7094.00,0,1,0,0
1055,Yunbee,7080.00,2,1,1,0
1056,QUICKTIMER,7056.00,2,2,0,0
1057,Divkid,7037.00,0,0,3,0
1058,Dreedy,7036.00,2,3,1,0
1059,Matt,7000.00,0,1,0,0
1060,Clozer,6987.00,0,0,0,0
1061,Frappii,6983.00,2,4,0,0
1062,Catch,6938.00,2,1,0,0
1063,Aku,6921.00,3,7,2,0
1064,kubYD,6918.00,3,0,1,0
1065,Baula,6916.00,1,5,0,0
1066,IlllIma,6895.00,4,1,0,0
1067,Mocha,6893.00,1,0,0,1
1068,Pake,6883.00,0,1,2,0
1069,Zhergoth,6883.00,3,4,0,0
1070,Turtle,6877.00,1,1,1,0
1071,Chieftain,6874.00,0,1,0,0
1072,MoMa,6860.00,0,1,0,0
1073,Swip3rR,6852.00,3,7,1,1
1074,Archie2B,6842.00,0,1,1,0
1075,Woody,6814.00,0,0,2,0
1076,Exakick,6812.00,0,1,1,0
1077,Erry,6800.00,1,1,1,0
1078,fNb,6798.00,2,3,0,0
1079,Krastymel,6797.00,2,2,2,0
1080,Raqo,6762.00,5,5,2,0
1081,Shinsekai,6759.00,1,0,0,0
1082,Juhan,6757.00,0,1,2,0
1083,Goose,6738.00,5,6,1,0
1084,Albetrayber,6714.00,6,5,3,0
1085,Leo,6713.00,0,1,0,0
1086,Brandini,6700.00,3,2,0,0
1087,Afflict,6692.00,2,0,0,0
1088,Hasmed,6660.00,0,1,1,0
1089,Khantos,6653.00,0,2,0,0
1089,Color,6645.00,2,0,0,0
1089,Damage,6632.00,1,3,1,0
1092,Nova,6609.00,0,0,1,0
1093,Jree,6500.00,1,0,2,0
1094,Rueven,6497.00,1,0,1,0
1095,Cookie,6486.00,1,3,0,0
1096,Mia,6477.00,0,1,0,0
1097,Dimonko,6476.00,0,2,1,0
1098,HyBriD,6472.00,0,0,1,0
1099,UDYSOF,6450.00,1,0,0,0
1100,Cboi,6437.00,4,4,1,0
1100,Professor,6358.00,0,2,2,0
1100,Winston,6340.00,4,3,2,0
1103,Wardain,6325.00,0,2,1,0
1104,Roison,6322.00,0,5,3,0
1105,Sks,6321.00,0,0,0,0
1106,Raven,6304.00,0,1,0,0
1107,Kamilius,6272.00,3,1,1,0
1108,Tenacity,6220.00,2,1,3,0
1109,Kenvi,6220.00,2,1,3,0
1110,Enso,6218.00,0,0,1,0
1111,Frozen,6210.00,6,1,0,0
1112,Palafox,6200.00,3,1,0,0
1113,SOUPerior,6200.00,1,1,0,0
1114,Care,6196.00,0,1,0,0
1115,Angush,6180.00,0,0,1,0
1116,Niles,6180.00,1,1,4,0
1117,DuaLL,6175.00,1,1,0,0
1118,Ippon,6124.00,0,2,2,0
1119,Rogue,6114.00,2,0,2,0
1120,Shiphtur,6100.00,0,2,0,0
1121,Crystal,6088.00,2,2,1,0
1122,Bruno,6082.00,1,0,0,0
1123,Jauny,6080.00,4,1,1,0
1124,twohoyrz,6054.00,1,0,1,0
1125,BocaJR,6045.00,2,0,1,0
1126,Haeri,6000.00,2,3,0,0
1127,Eyla,6000.00,3,3,1,0
1128,Chad,6000.00,1,0,2,0
1129,OmarGod,6000.00,0,1,1,0
1130,Keane,6000.00,1,0,0,0
1131,Motive,5974.00,0,0,2,0
1132,Wink,5973.00,0,0,0,0
1133,Joker,5945.00,0,1,2,0
1134,Rod,5932.00,1,4,0,0
1135,Nxi,5920.00,3,3,0,0
1136,Gango,5913.00,0,1,2,0
1137,Nolan,5893.00,4,1,0,0
1138,Seelame,5889.00,3,3,2,0
1139,Navio,5888.00,0,1,1,0
1140,Xaky,5887.00,5,3,1,0
1141,Martin,5883.00,0,0,0,0
1142,Ritix,5864.00,1,1,0,0
1143,M1anhua,5862.00,0,3,0,0
1144,fearness,5862.00,0,1,0,0
1145,Wings,5862.00,0,1,0,0
1146,Soligo,5860.00,3,0,0,0
1147,Crush,5833.00,2,0,0,0
1148,LeX,5832.00,0,2,1,0
1149,KronG,5832.00,0,1,0,0
1150,Weiwei,5805.00,0,0,0,0
1151,Biubiu,5805.00,0,0,0,0
1152,Samd,5805.00,0,0,0,0
1153,SOLKA,5793.00,0,0,1,0
1154,Zoiren,5786.00,4,2,0,0
1155,Argonavt,5786.00,1,0,0,0
1156,Saviour,5731.00,5,4,0,0
1157,Astarore,5725.00,3,1,0,0
1158,Teacherma,5664.00,0,0,0,0
1159,Xzz,5661.00,0,1,1,0
1160,hyrqBot,5650.00,1,0,1,0
1161,EnvyCarry,5608.00,1,0,0,0
1162,Maestro,5604.00,0,0,0,0
1163,Fenfen,5604.00,0,0,0,0
1164,Husky,5600.00,0,2,0,0
1165,Nille,5595.00,1,1,2,0
1166,Ruby,5593.00,0,2,0,0
1167,Claire,5588.00,1,3,8,1
1168,SkyBart,5558.00,0,5,2,0
1169,Noltey,5554.00,0,4,7,0
1170,Pride,5544.00,0,2,0,0
1171,Petland,5535.00,1,2,0,0
1172,Freire,5523.00,2,0,1,0
1173,Saulius,5510.00,1,4,1,0
1174,aesthetic,5507.00,1,1,2,0
1175,Inition,5475.00,1,2,0,0
1176,Krakmo,5467.00,1,4,1,0
1177,MrRalleZ,5464.00,0,0,2,0
1178,MarioMe,5461.00,2,0,1,0
1179,Seize,5430.00,0,1,0,0
1180,Bay,5410.00,0,1,1,0
1181,Odi11,5401.00,1,0,1,0
1182,007x,5400.00,1,0,0,0
1183,Disave,5340.00,1,0,1,0
1184,Prime,5322.00,4,2,0,0
1185,Bonnie,5311.00,2,0,1,0
1186,Kerp,5301.00,1,0,1,0
1187,Ruvelius,5296.00,2,0,1,1
1187,Baca,5277.00,1,1,0,0
1187,Xico,5266.00,2,2,1,0
1190,Ryuzaki,5260.00,1,3,2,0
1191,Own3r,5236.00,3,4,0,0
1192,xTyLk,5227.00,1,3,0,0
1193,Priskornet,5197.00,2,2,1,0
1194,FATE,5183.00,0,0,2,0
1195,Anyyy,5178.00,1,0,1,0
1196,NoXiAK,5156.00,0,0,2,0
1196,komedyja,5144.00,2,1,0,0
1198,ActScene,5142.00,0,0,0,0
1199,Zuao,5134.00,1,0,4,0
1200,MightyDragon,5133.00,1,2,0,0
1201,Hauz,5128.00,3,0,0,0
1202,Rafitta,5125.00,1,1,0,0
1203,Nestea,5113.00,0,0,1,0
1204,Mersa,5112.00,2,0,0,0
1205,xKenzuke,5112.00,1,0,0,0
1206,Luskka,5095.00,1,1,0,0
1207,InTreso,5068.00,2,2,0,0
1208,FUN k3y,5061.00,0,2,1,0
1209,Baiano,5059.00,0,1,1,0
1210,Atlanta,5020.00,2,0,0,0
1211,Bradley,5000.00,3,1,0,0
1212,Halo,5000.00,2,2,0,0
1213,TopLop,5000.00,2,1,1,0
1214,Apii,5000.00,1,1,0,0
1215,Keshi,4994.00,0,1,0,0
1216,Fanatiik,4982.00,1,3,2,0
1217,FireRain,4980.00,0,0,1,0
1218,Aoshi,4947.00,0,1,2,0
1219,Victory,4932.00,0,0,0,0
1220,Quinncidence,4925.00,2,1,0,0
1221,Nemky,4921.00,0,2,0,0
1222,Munckizz,4914.00,4,4,4,0
1223,Marrow Ooze,4903.00,7,2,1,0
1224,Erixen,4893.00,3,0,1,0
1225,Unknown,4879.00,2,3,2,0
1226,JaVaaa,4879.00,1,1,0,0
1227,Archeny,4831.00,1,1,2,0
1228,Zeus,4811.00,1,1,0,0
1229,Defles,4806.00,0,2,1,0
1230,Rodov,4800.00,3,2,1,0
1231,JimieN,4800.00,0,0,1,0
1232,Slyv3r,4796.00,3,4,2,0
1233,LL,4795.00,0,1,0,0
1234,XoNix,4785.00,0,0,1,0
1235,Emtest,4774.00,0,2,0,0
1236,Croco,4768.00,0,0,1,0
1237,Tutsz,4761.00,1,0,0,0
1238,ImSoFresh,4758.00,0,1,0,0
1239,Mimic,4757.00,2,0,1,0
1240,Reje,4743.00,3,3,0,0
1241,S0NSTAR,4740.00,0,0,0,0
1242,Eren,4714.00,1,4,0,0
1243,Haydal,4707.00,2,5,0,0
1244,Poulsen,4677.00,1,1,0,0
1245,Rifty,4667.00,2,4,2,0
1246,Kabe,4664.00,0,1,0,0
1247,Phantomles,4653.00,3,1,0,0
1248,Afm,4651.00,2,2,1,0
1249,Akunma,4640.00,1,4,0,0
1250,yijie,4618.00,0,1,1,0
1251,ACD,4616.00,2,1,1,0
1252,Cl0x,4608.00,0,4,2,0
1253,Sephis,4597.00,2,0,0,0
1254,Reven,4589.00,1,0,0,0
1255,Mask,4578.00,0,1,0,0
1256,Skude,4573.00,5,4,0,0
1257,Youdang,4571.00,1,2,0,0
1258,ZWuJi,4571.00,0,1,0,0
1259,ping,4532.00,0,1,0,0
1260,Tioo,4522.00,1,2,2,0
1261,Rulfchen,4470.00,3,1,0,0
1262,Locodoco,4470.00,0,0,0,0
1263,JinO,4458.00,1,0,0,0
1264,Kakan,4455.00,4,1,2,0
1265,Topoon,4450.00,3,0,0,0
1266,Hadow,4435.00,4,6,3,0
1267,Azure,4434.00,0,2,0,0
1268,Flaxxish,4418.00,1,3,0,0
1269,xCharm,4404.00,0,2,0,0
1270,Cabu,4396.00,1,0,3,0
1271,Myw,4396.00,1,1,1,0
1272,Guubi,4369.00,1,3,1,0
1273,Raise,4368.00,1,0,1,0
1274,Wayne,4358.00,0,1,0,0
1275,rjs,4351.00,1,0,0,0
1276,Kine,4347.00,0,2,0,0
1277,LaFleur,4345.00,6,1,0,0
1278,Rakin,4338.00,0,1,1,0
1279,Aoi Haru,4337.00,1,0,0,0
1280,Once,4329.00,1,0,2,0
1281,StenBosse,4328.00,3,2,0,0
1282,Night,4320.00,4,5,0,0
1283,pbO,4315.00,2,2,1,0
1284,Kuma,4299.00,0,0,1,0
1285,Yado,4254.00,0,0,0,0
1286,Kehvo,4242.00,0,4,1,0
1287,Shiny,4240.00,2,0,1,0
1287,Garo,4239.00,1,1,2,0
1289,Eckas,4234.00,3,1,0,0
1290,Holo,4233.00,0,0,2,0
1291,DenVoksne,4211.00,1,1,2,0
1292,Kynetic,4206.00,0,2,2,0
1293,Mirror,4201.00,1,3,0,0
1294,Mexi,4189.00,1,1,0,0
1295,Fraid,4167.00,1,3,1,0
1296,Random,4144.00,5,1,0,0
1297,Achuu,4137.00,2,1,2,0
1298,Zytan,4134.00,3,1,1,0
1299,Citrus,4125.00,0,1,0,0
1300,Artemis,4120.00,0,1,1,0
1301,Style,4109.00,1,0,0,0
1302,Jatt,4100.00,1,0,2,0
1303,Moo,4093.00,0,2,0,0
1304,Tuomari,4077.00,2,3,3,0
1305,Nobody,4063.00,0,1,0,0
1306,Kronos,4063.00,1,2,0,0
1307,Kackos,4062.00,0,2,1,0
1308,Tifa,4035.00,1,3,0,0
1309,Kyanna,4035.00,1,3,0,0
1310,Pirean,4031.00,0,1,1,0
1311,Zeicro,4027.00,1,2,1,0
1312,Cover,4023.00,0,0,1,0
1313,Benji,4000.00,0,0,1,0
1314,Hakuho,4000.00,0,0,1,0
1315,Moon,4000.00,0,0,0,0
1316,Bull,3997.00,0,2,0,0
1317,Froststrike,3995.00,1,3,0,0
1318,whiteinn,3994.00,1,2,0,0
1319,Eimy,3984.00,0,0,1,0
1320,PCL,3978.00,1,4,3,0
1321,Dreamsu,3975.00,1,1,1,0
1322,Lucky,3950.00,1,0,0,0
1323,Zica,3928.00,0,0,0,0
1324,Wizer,3928.00,0,0,1,0
1325,Efias,3915.00,2,2,0,0
1326,Vicla,3903.00,2,0,0,0
1327,Tony Top,3900.00,0,2,0,0
1328,TH,3898.00,0,0,2,0
1329,Bullet,3885.00,1,1,2,0
1330,Spawn,3880.00,1,0,0,0
1331,Spot,3879.00,0,0,2,0
1332,AlternativeX,3874.00,3,2,1,0
1333,Hantera,3863.00,1,1,0,0
1334,J0J0C,3858.00,3,1,1,0
1335,Dommmy,3852.00,2,2,1,0
1336,Calm,3845.00,0,1,2,0
1337,Gear,3842.00,0,0,0,0
1338,Kit,3841.00,0,1,0,0
1339,Raxhy,3836.00,1,1,2,0
1340,Robba,3824.00,3,2,1,0
1341,Lvsyan,3805.00,1,0,0,0
1342,LynX,3803.00,2,0,0,0
1343,Brom,3803.00,0,0,0,0
1344,Tomo,3800.00,2,1,0,0
1345,Nyu,3797.00,2,0,2,0
1346,Grisen,3796.00,2,2,1,0
1347,Mytheos,3788.00,2,4,3,0
1348,AndyBendy,3779.00,2,4,3,0
1349,Yuri,3774.00,0,1,0,0
1350,Energy,3769.00,4,1,1,0
1351,Leon,3754.00,0,2,1,0
1352,Oscarinin,3736.00,0,2,0,0
1353,APA,3732.00,0,3,2,0
1354,Kiefer,3731.00,1,1,1,0
1355,Hiro,3727.00,0,0,0,0
1356,Click,3695.00,3,2,0,0
1356,Sebs,3691.00,4,5,2,0
1358,Kartis,3674.00,1,0,0,0
1359,IceBreaker,3672.00,2,1,1,0
1360,Engo,3660.00,1,0,1,0
1361,Spookz,3656.00,2,4,1,0
1362,Swiffer,3656.00,2,4,1,0
1363,BuLLDoG,3629.00,0,2,0,0
1364,Zwyroo,3627.00,0,1,3,0
1365,Decay,3614.00,1,2,2,0
1366,viNylCat,3610.00,0,0,0,0
